ProbeID	myTestExp.AVG_Signal	myTestExp.Detection Pval	myTestExp.Avg_NBEADS	myTestExp.BEAD_STDERR	myControlExp.AVG_Signal	myControlExp.Detection Pval	myControlExp.Avg_NBEADS	myControlExp.BEAD_STDERR	otherExp.AVG_Signal	otherExp.Detection Pval	otherExp.Avg_NBEADS	otherExp.BEAD_STDERR
6450255	100	0.001	18	8.268982	1000	0.001	30	6.619421	16.6944	0.001	12	11.97684
2570615	1000	0.001	17	8.562001	10	0.001	19	7.798649	25.10586	0.001	17	8.408105
6370619	34.33247	0.001	26	9.043684	680	0.001	22	6.717401	-15.2	0.001	22	5.285473
2600039	17.22792	0.001	21	6.060176	15.52971	0.001	27	6.499621	6.539884	0.001	23	7.04906
2650615	5.084306	0.001	23	10.32603	10.33431	0.001	22	8.912662	22.51953	0.001	13	10.17769
5340672	-11.1112	0.001	15	9.40638	-25.50761	0.001	19	5.566705	333	0.7363636	14	6.247431
2000519	36.52661	0.001	28	9.797354	31.93222	0.001	19	11.15931	33.43698	0.001	19	10.76422
3870044	-47.60567	0.001	26	6.451647	-58.82698	0.001	24	3.191353	-49.11068	0.9636363	21	3.210061
7050209	40	0.001	13	11.01921	41	0.001	26	6.420608	120.2	0.02987013	18	10.08427
1580181	11.29265	0.001	22	12.33692	27.04955	0.001	35	6.098754	13.76202	0.3324675	25	6.212656
